[(1.0, 2.0, 3.0), (1.0, 2.0, 4.0)]
[(1.0, 2.0), (1.0, 3.0)]
        - Testing with features [ 1  6 33] | Accuracy: %68.1
        - Testing with features [ 1  6 34] | Accuracy: %69.0
        - Testing with features [ 1  6 35] | Accuracy: %68.4
        - Testing with features [ 1  6 36] | Accuracy: %68.7
        - Testing with features [ 1  6 37] | Accuracy: %67.3
        - Testing with features [ 1  6 38] | Accuracy: %67.8
        - Testing with features [ 1  6 39] | Accuracy: %68.6
        - Testing with features [ 1  6 40] | Accuracy: %68.7
        - Testing with features [1 7 8] | Accuracy: %81.3
        - Testing with features [1 7 9] | Accuracy: %81.2
        - Testing with features [ 1  7 10] | Accuracy: %81.6
        - Testing with features [ 1  7 11] | Accuracy: %81.9
        - Testing with features [ 1  7 12] | Accuracy: %81.2
        - Testing with features [ 1  7 13] | Accuracy: %82.3
        - Testing with features [ 1  7 14] | Accuracy: %82.7
        - Testing with features [ 1  7 15] | Accuracy: %82.8
        - Testing with features [ 1  7 16] | Accuracy: %82.7
        - Testing with features [ 1  7 17] | Accuracy: %83.6
        - Testing with features [ 1  7 18] | Accuracy: %84.0
        - Testing with features [ 1  7 19] | Accuracy: %81.8
        - Testing with features [ 1  7 20] | Accuracy: %81.6
        - Testing with features [ 1  7 21] | Accuracy: %80.9
        - Testing with features [ 1  7 22] | Accuracy: %83.5
        - Testing with features [ 1  7 23] | Accuracy: %84.8
        - Testing with features [ 1  7 24] | Accuracy: %82.3
        - Testing with features [ 1  7 25] | Accuracy: %81.2
        - Testing with features [ 1  7 26] | Accuracy: %80.9
        - Testing with features [ 1  7 27] | Accuracy: %81.9
        - Testing with features [ 1  7 28] | Accuracy: %80.6
        - Testing with features [ 1  7 29] | Accuracy: %81.5
        - Testing with features [ 1  7 30] | Accuracy: %83.9
        - Testing with features [ 1  7 31] | Accuracy: %82.5
        - Testing with features [ 1  7 32] | Accuracy: %83.5
        - Testing with features [ 1  7 33] | Accuracy: %84.7
        - Testing with features [ 1  7 34] | Accuracy: %80.5
        - Testing with features [ 1  7 35] | Accuracy: %82.8
        - Testing with features [ 1  7 36] | Accuracy: %81.6
        - Testing with features [ 1  7 37] | Accuracy: %81.2
        - Testing with features [ 1  7 38] | Accuracy: %81.0
        - Testing with features [ 1  7 39] | Accuracy: %81.0
        - Testing with features [ 1  7 40] | Accuracy: %82.1
        - Testing with features [1 8 9] | Accuracy: %67.7
        - Testing with features [ 1  8 10] | Accuracy: %68.1
        - Testing with features [ 1  8 11] | Accuracy: %68.9
        - Testing with features [ 1  8 12] | Accuracy: %69.2
        - Testing with features [ 1  8 13] | Accuracy: %67.9
        - Testing with features [ 1  8 14] | Accuracy: %68.1
        - Testing with features [ 1  8 15] | Accuracy: %64.9
        - Testing with features [ 1  8 16] | Accuracy: %68.5
        - Testing with features [ 1  8 17] | Accuracy: %69.6
        - Testing with features [ 1  8 18] | Accuracy: %70.4
        - Testing with features [ 1  8 19] | Accuracy: %66.8
        - Testing with features [ 1  8 20] | Accuracy: %68.4
        - Testing with features [ 1  8 21] | Accuracy: %66.2
        - Testing with features [ 1  8 22] | Accuracy: %67.1
        - Testing with features [ 1  8 23] | Accuracy: %66.6
        - Testing with features [ 1  8 24] | Accuracy: %67.4
        - Testing with features [ 1  8 25] | Accuracy: %69.7
        - Testing with features [ 1  8 26] | Accuracy: %71.6
        - Testing with features [ 1  8 27] | Accuracy: %68.6
        - Testing with features [ 1  8 28] | Accuracy: %67.7
        - Testing with features [ 1  8 29] | Accuracy: %70.4
        - Testing with features [ 1  8 30] | Accuracy: %68.7
        - Testing with features [ 1  8 31] | Accuracy: %68.6
        - Testing with features [ 1  8 32] | Accuracy: %66.9
        - Testing with features [ 1  8 33] | Accuracy: %68.0
        - Testing with features [ 1  8 34] | Accuracy: %68.1
        - Testing with features [ 1  8 35] | Accuracy: %69.0
        - Testing with features [ 1  8 36] | Accuracy: %66.9
        - Testing with features [ 1  8 37] | Accuracy: %66.8
        - Testing with features [ 1  8 38] | Accuracy: %69.9
        - Testing with features [ 1  8 39] | Accuracy: %65.8
        - Testing with features [ 1  8 40] | Accuracy: %66.0
        - Testing with features [ 1  9 10] | Accuracy: %68.6
        - Testing with features [ 1  9 11] | Accuracy: %70.7
        - Testing with features [ 1  9 12] | Accuracy: %68.5
        - Testing with features [ 1  9 13] | Accuracy: %68.8
        - Testing with features [ 1  9 14] | Accuracy: %70.4
        - Testing with features [ 1  9 15] | Accuracy: %69.4
        - Testing with features [ 1  9 16] | Accuracy: %69.3
        - Testing with features [ 1  9 17] | Accuracy: %69.6
        - Testing with features [ 1  9 18] | Accuracy: %69.0
        - Testing with features [ 1  9 19] | Accuracy: %70.7
        - Testing with features [ 1  9 20] | Accuracy: %68.9
        - Testing with features [ 1  9 21] | Accuracy: %68.3
        - Testing with features [ 1  9 22] | Accuracy: %66.7
        - Testing with features [ 1  9 23] | Accuracy: %67.2
        - Testing with features [ 1  9 24] | Accuracy: %67.1
        - Testing with features [ 1  9 25] | Accuracy: %67.5
        - Testing with features [ 1  9 26] | Accuracy: %67.8
        - Testing with features [ 1  9 27] | Accuracy: %65.8
        - Testing with features [ 1  9 28] | Accuracy: %66.7
        - Testing with features [ 1  9 29] | Accuracy: %67.8
        - Testing with features [ 1  9 30] | Accuracy: %70.2
        - Testing with features [ 1  9 31] | Accuracy: %69.1
        - Testing with features [ 1  9 32] | Accuracy: %67.7
        - Testing with features [ 1  9 33] | Accuracy: %68.7
        - Testing with features [ 1  9 34] | Accuracy: %70.7
        - Testing with features [ 1  9 35] | Accuracy: %67.1
        - Testing with features [ 1  9 36] | Accuracy: %68.0
        - Testing with features [ 1  9 37] | Accuracy: %67.7
        - Testing with features [ 1  9 38] | Accuracy: %68.7
        - Testing with features [ 1  9 39] | Accuracy: %68.4
        - Testing with features [ 1  9 40] | Accuracy: %68.5
        - Testing with features [ 1 10 11] | Accuracy: %69.6
        - Testing with features [ 1 10 12] | Accuracy: %69.2
        - Testing with features [ 1 10 13] | Accuracy: %68.4
        - Testing with features [ 1 10 14] | Accuracy: %69.2
        - Testing with features [ 1 10 15] | Accuracy: %68.6
        - Testing with features [ 1 10 16] | Accuracy: %67.0
        - Testing with features [ 1 10 17] | Accuracy: %68.7
        - Testing with features [ 1 10 18] | Accuracy: %67.2
        - Testing with features [ 1 10 19] | Accuracy: %66.3
        - Testing with features [ 1 10 20] | Accuracy: %69.9
        - Testing with features [ 1 10 21] | Accuracy: %68.1
        - Testing with features [ 1 10 22] | Accuracy: %68.6
        - Testing with features [ 1 10 23] | Accuracy: %69.7
        - Testing with features [ 1 10 24] | Accuracy: %67.4
        - Testing with features [ 1 10 25] | Accuracy: %70.9
        - Testing with features [ 1 10 26] | Accuracy: %66.8
        - Testing with features [ 1 10 27] | Accuracy: %68.2
        - Testing with features [ 1 10 28] | Accuracy: %68.8
        - Testing with features [ 1 10 29] | Accuracy: %67.1
        - Testing with features [ 1 10 30] | Accuracy: %67.5
        - Testing with features [ 1 10 31] | Accuracy: %65.3
