        - Testing with features [ 7  4 30  1  9 40] | Accuracy: %81.6
     [+] -- On level 6, we add feature subset [ 7  4 30  1  9 11] with an accuracy of %86.2

[::] -- Forward Selection Search Tree Level 7 -- [::]
        - Testing with features [ 7  4 30  1  9 11  2] | Accuracy: %82.8
        - Testing with features [ 7  4 30  1  9 11  3] | Accuracy: %83.2
        - Testing with features [ 7  4 30  1  9 11  5] | Accuracy: %81.2
        - Testing with features [ 7  4 30  1  9 11  6] | Accuracy: %82.0
        - Testing with features [ 7  4 30  1  9 11  8] | Accuracy: %81.2
        - Testing with features [ 7  4 30  1  9 11 10] | Accuracy: %82.3
        - Testing with features [ 7  4 30  1  9 11 12] | Accuracy: %82.6
        - Testing with features [ 7  4 30  1  9 11 13] | Accuracy: %81.9
        - Testing with features [ 7  4 30  1  9 11 14] | Accuracy: %81.8
        - Testing with features [ 7  4 30  1  9 11 15] | Accuracy: %80.7
        - Testing with features [ 7  4 30  1  9 11 16] | Accuracy: %80.8
        - Testing with features [ 7  4 30  1  9 11 17] | Accuracy: %81.3
        - Testing with features [ 7  4 30  1  9 11 18] | Accuracy: %83.3
        - Testing with features [ 7  4 30  1  9 11 19] | Accuracy: %81.3
        - Testing with features [ 7  4 30  1  9 11 20] | Accuracy: %83.1
        - Testing with features [ 7  4 30  1  9 11 21] | Accuracy: %80.6
        - Testing with features [ 7  4 30  1  9 11 22] | Accuracy: %81.1
        - Testing with features [ 7  4 30  1  9 11 23] | Accuracy: %80.2
        - Testing with features [ 7  4 30  1  9 11 24] | Accuracy: %81.8
        - Testing with features [ 7  4 30  1  9 11 25] | Accuracy: %82.5
        - Testing with features [ 7  4 30  1  9 11 26] | Accuracy: %79.8
        - Testing with features [ 7  4 30  1  9 11 27] | Accuracy: %78.6
        - Testing with features [ 7  4 30  1  9 11 28] | Accuracy: %82.2
        - Testing with features [ 7  4 30  1  9 11 29] | Accuracy: %83.3
        - Testing with features [ 7  4 30  1  9 11 31] | Accuracy: %81.3
        - Testing with features [ 7  4 30  1  9 11 32] | Accuracy: %78.9
        - Testing with features [ 7  4 30  1  9 11 33] | Accuracy: %80.3
        - Testing with features [ 7  4 30  1  9 11 34] | Accuracy: %82.6
        - Testing with features [ 7  4 30  1  9 11 35] | Accuracy: %81.9
        - Testing with features [ 7  4 30  1  9 11 36] | Accuracy: %80.4
        - Testing with features [ 7  4 30  1  9 11 37] | Accuracy: %80.1
        - Testing with features [ 7  4 30  1  9 11 38] | Accuracy: %81.6
        - Testing with features [ 7  4 30  1  9 11 39] | Accuracy: %82.6
        - Testing with features [ 7  4 30  1  9 11 40] | Accuracy: %79.0
     [+] -- On level 7, we add feature subset [ 7  4 30  1  9 11 18] with an accuracy of %83.3

[::] -- Forward Selection Search Tree Level 8 -- [::]
        - Testing with features [ 7  4 30  1  9 11 18  2] | Accuracy: %82.8
        - Testing with features [ 7  4 30  1  9 11 18  3] | Accuracy: %82.2
        - Testing with features [ 7  4 30  1  9 11 18  5] | Accuracy: %81.3
        - Testing with features [ 7  4 30  1  9 11 18  6] | Accuracy: %79.5
        - Testing with features [ 7  4 30  1  9 11 18  8] | Accuracy: %80.6
        - Testing with features [ 7  4 30  1  9 11 18 10] | Accuracy: %80.4
        - Testing with features [ 7  4 30  1  9 11 18 12] | Accuracy: %83.0
        - Testing with features [ 7  4 30  1  9 11 18 13] | Accuracy: %79.5
        - Testing with features [ 7  4 30  1  9 11 18 14] | Accuracy: %82.0
        - Testing with features [ 7  4 30  1  9 11 18 15] | Accuracy: %79.1
        - Testing with features [ 7  4 30  1  9 11 18 16] | Accuracy: %80.1
        - Testing with features [ 7  4 30  1  9 11 18 17] | Accuracy: %80.0
        - Testing with features [ 7  4 30  1  9 11 18 19] | Accuracy: %81.0
        - Testing with features [ 7  4 30  1  9 11 18 20] | Accuracy: %81.4
        - Testing with features [ 7  4 30  1  9 11 18 21] | Accuracy: %79.1
        - Testing with features [ 7  4 30  1  9 11 18 22] | Accuracy: %79.9
        - Testing with features [ 7  4 30  1  9 11 18 23] | Accuracy: %79.9
        - Testing with features [ 7  4 30  1  9 11 18 24] | Accuracy: %81.1
        - Testing with features [ 7  4 30  1  9 11 18 25] | Accuracy: %81.6
        - Testing with features [ 7  4 30  1  9 11 18 26] | Accuracy: %79.2
        - Testing with features [ 7  4 30  1  9 11 18 27] | Accuracy: %78.5
        - Testing with features [ 7  4 30  1  9 11 18 28] | Accuracy: %81.0
        - Testing with features [ 7  4 30  1  9 11 18 29] | Accuracy: %81.2
        - Testing with features [ 7  4 30  1  9 11 18 31] | Accuracy: %81.3
        - Testing with features [ 7  4 30  1  9 11 18 32] | Accuracy: %77.8
        - Testing with features [ 7  4 30  1  9 11 18 33] | Accuracy: %80.0
        - Testing with features [ 7  4 30  1  9 11 18 34] | Accuracy: %81.2
        - Testing with features [ 7  4 30  1  9 11 18 35] | Accuracy: %79.2
        - Testing with features [ 7  4 30  1  9 11 18 36] | Accuracy: %82.0
        - Testing with features [ 7  4 30  1  9 11 18 37] | Accuracy: %80.0
        - Testing with features [ 7  4 30  1  9 11 18 38] | Accuracy: %79.6
        - Testing with features [ 7  4 30  1  9 11 18 39] | Accuracy: %80.8
        - Testing with features [ 7  4 30  1  9 11 18 40] | Accuracy: %79.1
     [+] -- On level 8, we add feature subset [ 7  4 30  1  9 11 18 12] with an accuracy of %83.0

[::] -- Forward Selection Search Tree Level 9 -- [::]
        - Testing with features [ 7  4 30  1  9 11 18 12  2] | Accuracy: %81.6
        - Testing with features [ 7  4 30  1  9 11 18 12  3] | Accuracy: %80.6
        - Testing with features [ 7  4 30  1  9 11 18 12  5] | Accuracy: %79.9
        - Testing with features [ 7  4 30  1  9 11 18 12  6] | Accuracy: %80.9
        - Testing with features [ 7  4 30  1  9 11 18 12  8] | Accuracy: %77.9
        - Testing with features [ 7  4 30  1  9 11 18 12 10] | Accuracy: %78.1
        - Testing with features [ 7  4 30  1  9 11 18 12 13] | Accuracy: %79.3
        - Testing with features [ 7  4 30  1  9 11 18 12 14] | Accuracy: %81.3
        - Testing with features [ 7  4 30  1  9 11 18 12 15] | Accuracy: %78.4
        - Testing with features [ 7  4 30  1  9 11 18 12 16] | Accuracy: %78.9
        - Testing with features [ 7  4 30  1  9 11 18 12 17] | Accuracy: %79.1
        - Testing with features [ 7  4 30  1  9 11 18 12 19] | Accuracy: %80.2
        - Testing with features [ 7  4 30  1  9 11 18 12 20] | Accuracy: %80.0
        - Testing with features [ 7  4 30  1  9 11 18 12 21] | Accuracy: %77.9
        - Testing with features [ 7  4 30  1  9 11 18 12 22] | Accuracy: %79.3
        - Testing with features [ 7  4 30  1  9 11 18 12 23] | Accuracy: %79.5
        - Testing with features [ 7  4 30  1  9 11 18 12 24] | Accuracy: %79.5
        - Testing with features [ 7  4 30  1  9 11 18 12 25] | Accuracy: %80.5
        - Testing with features [ 7  4 30  1  9 11 18 12 26] | Accuracy: %79.2
        - Testing with features [ 7  4 30  1  9 11 18 12 27] | Accuracy: %77.5
        - Testing with features [ 7  4 30  1  9 11 18 12 28] | Accuracy: %80.6
        - Testing with features [ 7  4 30  1  9 11 18 12 29] | Accuracy: %82.1
        - Testing with features [ 7  4 30  1  9 11 18 12 31] | Accuracy: %80.2
        - Testing with features [ 7  4 30  1  9 11 18 12 32] | Accuracy: %78.9
        - Testing with features [ 7  4 30  1  9 11 18 12 33] | Accuracy: %79.6
        - Testing with features [ 7  4 30  1  9 11 18 12 34] | Accuracy: %80.0
        - Testing with features [ 7  4 30  1  9 11 18 12 35] | Accuracy: %79.3
        - Testing with features [ 7  4 30  1  9 11 18 12 36] | Accuracy: %80.7
        - Testing with features [ 7  4 30  1  9 11 18 12 37] | Accuracy: %77.9
        - Testing with features [ 7  4 30  1  9 11 18 12 38] | Accuracy: %80.7
        - Testing with features [ 7  4 30  1  9 11 18 12 39] | Accuracy: %80.5
        - Testing with features [ 7  4 30  1  9 11 18 12 40] | Accuracy: %78.1
     [+] -- On level 9, we add feature subset [ 7  4 30  1  9 11 18 12 29] with an accuracy of %82.1

[::] -- Forward Selection Search Tree Level 10 -- [::]
        - Testing with features [ 7  4 30  1  9 11 18 12 29  2] | Accuracy: %80.5
        - Testing with features [ 7  4 30  1  9 11 18 12 29  3] | Accuracy: %79.2
        - Testing with features [ 7  4 30  1  9 11 18 12 29  5] | Accuracy: %78.1
        - Testing with features [ 7  4 30  1  9 11 18 12 29  6] | Accuracy: %79.2
        - Testing with features [ 7  4 30  1  9 11 18 12 29  8] | Accuracy: %79.0
        - Testing with features [ 7  4 30  1  9 11 18 12 29 10] | Accuracy: %78.2
        - Testing with features [ 7  4 30  1  9 11 18 12 29 13] | Accuracy: %79.8
        - Testing with features [ 7  4 30  1  9 11 18 12 29 14] | Accuracy: %78.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 15] | Accuracy: %78.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 16] | Accuracy: %78.5
        - Testing with features [ 7  4 30  1  9 11 18 12 29 17] | Accuracy: %79.6
        - Testing with features [ 7  4 30  1  9 11 18 12 29 19] | Accuracy: %77.3
        - Testing with features [ 7  4 30  1  9 11 18 12 29 20] | Accuracy: %78.9
        - Testing with features [ 7  4 30  1  9 11 18 12 29 21] | Accuracy: %79.2
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22] | Accuracy: %81.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 23] | Accuracy: %77.5
        - Testing with features [ 7  4 30  1  9 11 18 12 29 24] | Accuracy: %78.9
        - Testing with features [ 7  4 30  1  9 11 18 12 29 25] | Accuracy: %79.8
        - Testing with features [ 7  4 30  1  9 11 18 12 29 26] | Accuracy: %78.8
        - Testing with features [ 7  4 30  1  9 11 18 12 29 27] | Accuracy: %77.3
        - Testing with features [ 7  4 30  1  9 11 18 12 29 28] | Accuracy: %78.8
        - Testing with features [ 7  4 30  1  9 11 18 12 29 31] | Accuracy: %80.6
        - Testing with features [ 7  4 30  1  9 11 18 12 29 32] | Accuracy: %78.5
        - Testing with features [ 7  4 30  1  9 11 18 12 29 33] | Accuracy: %78.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 34] | Accuracy: %78.0
        - Testing with features [ 7  4 30  1  9 11 18 12 29 35] | Accuracy: %78.0
        - Testing with features [ 7  4 30  1  9 11 18 12 29 36] | Accuracy: %79.8
        - Testing with features [ 7  4 30  1  9 11 18 12 29 37] | Accuracy: %78.6
        - Testing with features [ 7  4 30  1  9 11 18 12 29 38] | Accuracy: %78.1
        - Testing with features [ 7  4 30  1  9 11 18 12 29 39] | Accuracy: %79.0
        - Testing with features [ 7  4 30  1  9 11 18 12 29 40] | Accuracy: %78.1
     [+] -- On level 10, we add feature subset [ 7  4 30  1  9 11 18 12 29 22] with an accuracy of %81.7

[::] -- Forward Selection Search Tree Level 11 -- [::]
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  2] | Accuracy: %80.9
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  3] | Accuracy: %78.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  5] | Accuracy: %77.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  6] | Accuracy: %77.1
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  8] | Accuracy: %77.6
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 10] | Accuracy: %78.3
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 13] | Accuracy: %77.0
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 14] | Accuracy: %78.0
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 15] | Accuracy: %76.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 16] | Accuracy: %77.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 17] | Accuracy: %79.6
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 19] | Accuracy: %76.0
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 20] | Accuracy: %76.9
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 21] | Accuracy: %77.5
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 23] | Accuracy: %77.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 24] | Accuracy: %77.9
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 25] | Accuracy: %79.5
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 26] | Accuracy: %75.3
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 27] | Accuracy: %75.4
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 28] | Accuracy: %79.1
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 31] | Accuracy: %76.9
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 32] | Accuracy: %76.2
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 33] | Accuracy: %77.9
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 34] | Accuracy: %77.9
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 35] | Accuracy: %76.4
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 36] | Accuracy: %77.1
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 37] | Accuracy: %76.2
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 38] | Accuracy: %79.6
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 39] | Accuracy: %76.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22 40] | Accuracy: %76.8
     [+] -- On level 11, we add feature subset [ 7  4 30  1  9 11 18 12 29 22  2] with an accuracy of %80.9

[::] -- Forward Selection Search Tree Level 12 -- [::]
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  2  3] | Accuracy: %78.2
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  2  5] | Accuracy: %77.1
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  2  6] | Accuracy: %77.1
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  2  8] | Accuracy: %79.9
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  2 10] | Accuracy: %77.7
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  2 13] | Accuracy: %78.4
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  2 14] | Accuracy: %76.4
        - Testing with features [ 7  4 30  1  9 11 18 12 29 22  2 15] | Accuracy: %78.1
